Starting Training: 488 updates expected.
Update 303/488 | True Score: 937.49 | Optim Score: 889.57 | Std: 0.5185
Update 304/488 | True Score: 605.49 | Optim Score: 559.85 | Std: 0.5204
Update 305/488 | True Score: 447.74 | Optim Score: 413.20 | Std: 0.5210
Update 306/488 | True Score: 622.73 | Optim Score: 577.42 | Std: 0.5211
Update 307/488 | True Score: 660.90 | Optim Score: 615.39 | Std: 0.5233
Update 308/488 | True Score: 696.30 | Optim Score: 649.73 | Std: 0.5271
Update 309/488 | True Score: 782.51 | Optim Score: 735.61 | Std: 0.5266
Update 310/488 | True Score: 567.78 | Optim Score: 522.28 | Std: 0.5284
Update 311/488 | True Score: 627.91 | Optim Score: 581.73 | Std: 0.5302
Update 312/488 | True Score: 604.43 | Optim Score: 558.29 | Std: 0.5313
Update 313/488 | True Score: 608.49 | Optim Score: 560.66 | Std: 0.5269
Update 314/488 | True Score: 601.27 | Optim Score: 556.45 | Std: 0.5282
Update 315/488 | True Score: 436.16 | Optim Score: 397.89 | Std: 0.5293
Update 316/488 | True Score: 816.88 | Optim Score: 770.18 | Std: 0.5272
Update 317/488 | True Score: 547.35 | Optim Score: 498.23 | Std: 0.5319
Update 318/488 | True Score: 580.04 | Optim Score: 531.99 | Std: 0.5275
Update 319/488 | True Score: 631.81 | Optim Score: 586.71 | Std: 0.5267
Update 320/488 | True Score: 686.29 | Optim Score: 640.38 | Std: 0.5237
Update 321/488 | True Score: 488.98 | Optim Score: 446.05 | Std: 0.5228
Update 322/488 | True Score: 709.82 | Optim Score: 663.88 | Std: 0.5227
Update 323/488 | True Score: 601.20 | Optim Score: 555.64 | Std: 0.5211
Update 324/488 | True Score: 669.14 | Optim Score: 621.40 | Std: 0.5229
Update 325/488 | True Score: 507.43 | Optim Score: 470.03 | Std: 0.5231
Update 326/488 | True Score: 749.37 | Optim Score: 701.96 | Std: 0.5222
Update 327/488 | True Score: 645.58 | Optim Score: 597.40 | Std: 0.5263
Update 328/488 | True Score: 805.98 | Optim Score: 757.12 | Std: 0.5251
Update 329/488 | True Score: 677.27 | Optim Score: 628.28 | Std: 0.5261
Update 330/488 | True Score: 779.55 | Optim Score: 731.14 | Std: 0.5229
Update 331/488 | True Score: 637.69 | Optim Score: 592.41 | Std: 0.5224
Update 332/488 | True Score: 818.68 | Optim Score: 771.51 | Std: 0.5231
Update 333/488 | True Score: 547.41 | Optim Score: 500.62 | Std: 0.5209
Update 334/488 | True Score: 788.14 | Optim Score: 740.91 | Std: 0.5211
Update 335/488 | True Score: 600.83 | Optim Score: 566.30 | Std: 0.5207
Update 336/488 | True Score: 600.90 | Optim Score: 552.62 | Std: 0.5208
Update 337/488 | True Score: 663.28 | Optim Score: 617.95 | Std: 0.5222
Update 338/488 | True Score: 566.11 | Optim Score: 521.06 | Std: 0.5227
Update 339/488 | True Score: 790.52 | Optim Score: 743.13 | Std: 0.5215
Update 340/488 | True Score: 537.33 | Optim Score: 500.54 | Std: 0.5215
Update 341/488 | True Score: 788.51 | Optim Score: 742.11 | Std: 0.5166
Update 342/488 | True Score: 770.41 | Optim Score: 724.17 | Std: 0.5179
Update 343/488 | True Score: 536.14 | Optim Score: 490.74 | Std: 0.5184
Update 344/488 | True Score: 748.63 | Optim Score: 703.38 | Std: 0.5180
Update 345/488 | True Score: 665.57 | Optim Score: 621.81 | Std: 0.5198
Update 346/488 | True Score: 525.10 | Optim Score: 482.50 | Std: 0.5199
Update 347/488 | True Score: 659.66 | Optim Score: 624.08 | Std: 0.5217
Update 348/488 | True Score: 612.09 | Optim Score: 567.34 | Std: 0.5211
Update 349/488 | True Score: 546.15 | Optim Score: 503.35 | Std: 0.5204
Update 350/488 | True Score: 725.81 | Optim Score: 679.30 | Std: 0.5205
Update 351/488 | True Score: 723.31 | Optim Score: 679.10 | Std: 0.5239
Update 352/488 | True Score: 639.84 | Optim Score: 594.60 | Std: 0.5215
Update 353/488 | True Score: 699.40 | Optim Score: 652.66 | Std: 0.5206
Update 354/488 | True Score: 484.42 | Optim Score: 448.44 | Std: 0.5226
Update 355/488 | True Score: 807.71 | Optim Score: 760.77 | Std: 0.5242
Update 356/488 | True Score: 632.22 | Optim Score: 586.80 | Std: 0.5209
